78
1 一种苯并噻吩化合物中间体的制备方法 占轶鹏;张旭;李春刚;李卉;李倩 上海现代制药股份有限公司 中国专利 2017-08-29 2019-03-05  收藏 CN109422722A
2 一种萘胺药物中间体的制备方法 许冠兵;李春刚;邹凌燕;傅民 上海现代制药股份有限公司 中国专利 2017-07-07 2019-01-15  收藏 CN109206323A
3 一种甲磺酸达比加群酯工艺杂质的合成方法 张广;薛晓楠;姜碧波;邹凌燕;傅民;陈敏 上海现代制药股份有限公司 中国专利 2018-06-15 2018-10-16  收藏 CN108658938A
4 一种甲磺酸达比加群酯关键中间体的合成方法 张广;陈敏;薛晓楠;邹凌燕;傅民;荆双双 上海现代制药股份有限公司 中国专利 2018-07-16 2018-10-16  收藏 CN108658939A
5 一种奥贝胆酸的制备方法及其中间体 张杰;王国平;李春刚;傅民;黄文武;刘超;陆庆龄;邹强 上海现代制药股份有限公司;上海现代制药营销有限公司 中国专利 2016-12-30 2018-07-10  收藏 CN108264532A
6 一种奥贝胆酸的制备方法及其中间体 张杰;王国平;李春刚;黄文武;傅民;陆庆龄;刘超;李卉;熊昱 上海现代制药股份有限公司;上海现代制药营销有限公司 中国专利 2016-12-30 2018-07-10  收藏 CN108264533A
7 一种阿巴卡韦中间体及其纯化方法 卜永海;唐祁匀;徐锦;贾雪;丁屏;李海峰;李春刚;陈婷婷 上海现代制药海门有限公司;上海现代制药股份有限公司 中国专利 2017-08-18 2018-01-30  收藏 CN107641122A
8 一种无定型葡萄糖醇的合成方法 张广;沈钢;邹凌燕;傅民;吴渺渺 上海现代制药股份有限公司 中国专利 2017-09-04 2017-12-19  收藏 CN107488156A
9 一种化合物及其制备方法 卜永海;唐祁匀;徐锦;贾雪;丁屏;李海峰;李春刚;陈婷婷 上海现代制药海门有限公司;上海现代制药股份有限公司 中国专利 2017-08-18 2017-11-24  收藏 CN107383010A
10 一种曲格列汀的制备方法 郭林华;郑少军;许冠兵 上海现代制药股份有限公司 中国专利 2016-05-03 2017-11-10  收藏 CN107337664A
11 沙格列汀中间体的制备方法 李春刚;占轶鹏;黄文武;刘超;鲍丰足;孙一平;王国平;李辉;姜碧波;张杰 上海现代制药股份有限公司 中国专利 2015-12-30 2017-07-07  收藏 CN106928124A
12 一种手性联苯吡咯烷酮的制备方法及其中间体 黄文武;单晓燕;陈旭东;胡二营;张杰 上海现代制药股份有限公司;上海医药工业研究院 中国专利 2015-11-27 2017-06-09  收藏 CN106810485A
13 L#α#甘油磷酰胆碱的纯化方法 于振鹏;张东亚;王凯;杨炜;唐祁匀;何康永;谭兴志;高衎 上海现代制药海门有限公司;上海现代制药股份有限公司 中国专利 2016-09-07 2017-02-22  收藏 CN106432326A
14 高纯度红霉素6,9亚胺醚的制备方法 何康永;刘柏荣;李云鹏;吴雷;于振鹏;谭兴志;万国盛;丁屏;刘庆曌 上海现代制药海门有限公司;上海现代制药股份有限公司 中国专利 2016-09-12 2017-02-22  收藏 CN106432370A
15 一种具有提高阿齐沙坦生物利用度和稳定性的组合物及制备方法 栾瀚森;邹凌燕;罗文卿;杨莉;赵虹;宋嘉琦;黄文武 上海现代制药股份有限公司 中国专利 2016-10-11 2017-02-15  收藏 CN106389428A
16 一种索非布韦晶型6的制备方法 严允兵;于振鹏;何康永;张东亚;谭兴志;万国盛;陈婷婷 上海现代制药海门有限公司;上海现代制药股份有限公司 中国专利 2016-06-08 2016-11-09  收藏 CN106083963A
17 3-[2-(3-氯苯基)乙基]-2-吡啶甲酸的制备工艺 张广;庄守群;王国平;周后元;王宏博;陈敏 上海医药工业研究院;上海现代制药股份有限公司 中国专利 2014-10-17 2016-05-11  收藏 CN105566214A
18 一种曲格列汀包合物及其制备方法和应用 黄文武;邹凌燕;王永祥;罗文卿;杜会静;张超 上海现代制药股份有限公司 中国专利 2015-12-31 2016-05-11  收藏 CN105561326A
