57
1 混胶加速器 崔玉鹏;胡克武;张东林 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2014-05-05 2014-12-17  收藏 CN204017736U
2 一种镀膜玻璃 王勇;黄成德;王烁;刘双;胡冰;宋宇 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2014-01-06 2014-12-17  收藏 CN204020101U
3 一种新型多功能低辐射玻璃 王勇;王烁;胡冰;刘双;童帅 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2014-01-20 2014-12-17  收藏 CN204020102U
4 一种镀膜低辐射玻璃 王勇;胡冰;刘双;王烁;童帅 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2014-02-12 2014-12-10  收藏 CN203994914U
5 一种低辐射镀膜玻璃 王勇;胡冰;刘双;王烁 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2014-01-06 2014-08-27  收藏 CN203792810U
6 一种含有铜的三银镀膜玻璃 王勇;曾小绵;崔平生;王烁;宋宇;武瑞军;黄颖;徐伯永 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2014-01-26 2014-08-27  收藏 CN203792816U
7 一种低辐射镀膜玻璃 王琦;宋宇;刘宵枫;刘双 中国南玻集团股份有限公司;天津南玻工程玻璃有限公司;天津南玻节能玻璃有限公司 中国专利 2013-07-02 2014-07-30  收藏 CN203739352U
8 一种新型安防节能中空玻璃 王勇;韩劲东;秦伟哲;王烁;童帅 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2013-07-15 2014-04-16  收藏 CN203547419U
9 一种磁控溅射镀膜用磁钢检测装置 王旭升;王琦 中国南玻集团股份有限公司;天津南玻工程玻璃有限公司;天津南玻节能玻璃有限公司 中国专利 2012-09-29 2014-04-09  收藏 CN103710671A
10 一种低辐射镀膜玻璃及其制备工艺 王琦;宋宇;刘宵枫;刘双 中国南玻集团股份有限公司;天津南玻工程玻璃有限公司;天津南玻节能玻璃有限公司 中国专利 2013-07-02 2014-04-02  收藏 CN103692728A
11 一种无机全固态电致变色器件 王烁;胡冰;刘双 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2013-07-15 2013-12-11  收藏 CN203337972U
12 快速钢化low-e玻璃的加工设备 王琦;彭立群;王烁;秦伟哲;童帅 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2013-05-13 2013-10-16  收藏 CN203238165U
