180
1 一种直下式背光模组及液晶显示装置 刘瑞国;田炜;裴芳 长沙湘计海盾科技有限公司 中国专利 2018-10-12 2019-04-09  收藏 CN208721958U
2 一种军用大尺寸加固显示设备 周军勇;赵小珍;陈琳 长沙湘计海盾科技有限公司 中国专利 2018-12-25 2019-03-08  收藏 CN109445157A
3 一种瓶装溶液中异物颗粒的视觉检测方法 肖玉飞;涂宏斌;田炜 长沙湘计海盾科技有限公司 中国专利 2018-09-28 2019-02-19  收藏 CN109360195A
4 带显控的标准加固计算机 陈硕;沈剑文 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2017-12-13 2018-09-14  收藏 CN304816841S
5 多轴伺服驱动器 李俊;周继辉;周军勇;刘瑞国 长沙湘计海盾科技有限公司 中国专利 2018-01-19 2018-08-03  收藏 CN304757716S
6 一种光纤的测量装置 朱梦芳;李友如;彭涛;梁建冬;赵辉;陶令;陶光勇;马耀远;胡艳红 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2017-11-20 2018-07-31  收藏 CN207675081U
7 一种水密连接器的堵芯过纤密封结构 彭涛;肖迪;李乔;赵散梅;胡艳红;罗宵 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2017-11-08 2018-07-06  收藏 CN207586478U
8 一种用于声基阵阵元的远场声压灵敏度测试装置 胥晓;陶令;向继方;李友如;张辉;罗宵 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2017-11-08 2018-07-06  收藏 CN207585755U
9 一种基于龙芯处理器的可快速定制时统模块 吴思璇;卢山;邹清杨;徐代阳 长沙湘计海盾科技有限公司 中国专利 2017-11-10 2018-07-06  收藏 CN207586682U
10 一种光纤的测量方法以及测量装置 朱梦芳;李友如;彭涛;梁建冬;赵辉;陶令;陶光勇;马耀远;胡艳红 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2017-11-20 2018-05-08  收藏 CN108007307A
11 一种基于机器视觉的转盘角度高精度在线测量方法 肖玉飞;周翔;刘俊;涂宏斌;周继辉;田炜 长沙湘计海盾科技有限公司 中国专利 2017-06-30 2018-05-08  收藏 CN108007388A
12 一种光纤水听器阵列全自动化成阵装置 袁湘文;李友如;张小兵;彭涛 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2017-11-30 2018-05-08  收藏 CN108007554A
13 一种基于线结构光扫描的双目立体视觉三维测量方法 肖玉飞;周翔;刘俊;涂宏斌;周继辉;田炜 长沙湘计海盾科技有限公司 中国专利 2017-06-30 2018-04-13  收藏 CN107907048A
14 一种具备解调功能的水下光信号放大中继器及海底监听系统 刘振文;魏志猛;韩宽宽;李友如;蒋思思;罗宵 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2017-10-13 2018-03-09  收藏 CN107786268A
15 一种基于深度相机的人体行为识别方法 涂宏斌;周翔;杨辉;田炜;周继辉;彭日光;肖玉飞;张丰 长沙湘计海盾科技有限公司;长城信息产业股份有限公司 中国专利 2017-09-30 2018-02-27  收藏 CN107742097A
16 一种水密连接器的堵芯过纤密封结构和密封装配方法 彭涛;肖迪;李乔;赵散梅;胡艳红;罗宵 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2017-11-08 2018-01-30  收藏 CN107643567A
17 一种基于线激光扫描的传送带工件三维轮廓测量方法 肖玉飞;周翔;刘俊;涂宏斌;周继辉;田炜 长沙湘计海盾科技有限公司 中国专利 2017-06-30 2018-01-12  收藏 CN107578464A
18 一种用于延时环防护的包装盒 龙真;李友如;黄勇;胡艳红;陶国栋;蒋俊杰;周芝 长沙湘计海盾科技有限公司;湖南海盾光纤传感技术工程实验室有限公司 中国专利 2016-08-31 2017-12-08  收藏 CN206719950U
19 一种可快速实现硬盘热拨插及加固的装置 李叶枫;孙文德;刘志敏;杨黎明;杨剑 长沙湘计海盾科技有限公司 中国专利 2017-01-18 2017-09-26  收藏 CN206523819U
20 一种低功耗便携式网络交换机 袁洋波;陈年瑞;胡景文;黎辉辉;刘政;王盼;李小刚;侯新峰;郭治国;张明;蒋琴 长沙湘计海盾科技有限公司 中国专利 2016-12-30 2017-09-26  收藏 CN206524852U
180
21 一种距离自适应视频环出装置 何进;何银菊;唐炳念;姜鹏 长沙湘计海盾科技有限公司 中国专利 2017-01-18 2017-09-15  收藏 CN206498481U
22 一种防水防电磁干扰的导光面板 朱大可;何银菊;周军;陈琳;张文波 长沙湘计海盾科技有限公司 中国专利 2016-12-27 2017-08-18  收藏 CN206423015U
23 一种USB触摸屏控制器 朱润贵;孙文德;汪义辉;杨黎明;杨剑 长沙湘计海盾科技有限公司 中国专利 2016-12-20 2017-08-18  收藏 CN206421358U
24 一种模式快速切换型网络交换机 胡景文;陈年瑞;袁洋波;黎辉辉;刘政;王盼;李小刚;侯新峰;郭治国;张明;蒋琴 长沙湘计海盾科技有限公司 中国专利 2016-12-30 2017-08-18  收藏 CN206422791U
25 一种嵌入式系统的存储介质自动切换装置 彭日光;田炜;周继辉;袁永奇;周琴;郭永贵;裴芳 长沙湘计海盾科技有限公司 中国专利 2016-12-30 2017-08-18  收藏 CN206421376U
26 一种超薄型夜视兼容背光系统 朱大可;何银菊;周军;陈琳;张文波 长沙湘计海盾科技有限公司 中国专利 2016-12-27 2017-08-18  收藏 CN206421123U
27 一种“道”系统下多点触控的实现方法 肖芳春;杨剑;龙玉湘;杨黎明;简楹 长沙湘计海盾科技有限公司 中国专利 2017-01-18 2017-06-27  收藏 CN106896956A
28 一种硬件加速OpenCV库中图像处理函数的方法 彭日光;田炜;周继辉;袁永奇;周琴;郭永贵;裴芳 长沙湘计海盾科技有限公司 中国专利 2016-12-30 2017-06-20  收藏 CN106874059A
29 一种嵌入式系统的快速升级方法 彭日光;田炜;周继辉;袁永奇;周琴;郭永贵;裴芳 长沙湘计海盾科技有限公司 中国专利 2016-12-30 2017-06-13  收藏 CN106843940A
